All nodes and tasks are healthy.
All ranks passed the checks.
loading the view [1;36mtest_mpi:default[0m  with activation script [1;33m/user-environment/env/default/activate.sh[0m
Hostname: nid004960 Rank: 305, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004914 Rank: 233, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid001770 Rank: 1, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid001794 Rank: 25, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid005056 Rank: 461, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004880 Rank: 177, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004854 Rank: 133, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid005000 Rank: 365, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004982 Rank: 341, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004840 Rank: 107, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid001794 Rank: 24, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid005000 Rank: 364, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid004888 Rank: 193, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004920 Rank: 247, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004846 Rank: 119, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004988 Rank: 351, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004858 Rank: 142, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004992 Rank: 359, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004990 Rank: 354, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004848 Rank: 121, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid005066 Rank: 471, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid005038 Rank: 425, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid001770 Rank: 3, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004970 Rank: 319, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid001794 Rank: 26, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004898 Rank: 215, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004840 Rank: 105, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid001794 Rank: 27, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid001770 Rank: 2, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid005056 Rank: 462, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004920 Rank: 245, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid001998 Rank: 99, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid001888 Rank: 69, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004982 Rank: 343, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004878 Rank: 175, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid005014 Rank: 393, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
