All nodes and tasks are healthy.
All ranks passed the checks.
loading the view [1;36mtest_mpi:default[0m  with activation script [1;33m/user-environment/env/default/activate.sh[0m
Hostname: nid001146 Rank: 48, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001026 Rank: 7, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001106 Rank: 31, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001020 Rank: 5, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid004576 Rank: 255, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001066 Rank: 16, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid004504 Rank: 223, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001964 Rank: 133, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001130 Rank: 41, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001144 Rank: 47, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001150 Rank: 50, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001788 Rank: 68, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid004506 Rank: 224, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001128 Rank: 40, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001048 Rank: 10, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001018 Rank: 4, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001022 Rank: 6, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001084 Rank: 24, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001888 Rank: 103, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001168 Rank: 55, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001082 Rank: 23, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001870 Rank: 95, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001954 Rank: 131, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001960 Rank: 132, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001006 Rank: 2, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001120 Rank: 38, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001076 Rank: 20, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001890 Rank: 104, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001804 Rank: 74, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001878 Rank: 99, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001896 Rank: 105, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001910 Rank: 111, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001112 Rank: 34, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001776 Rank: 64, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid004546 Rank: 242, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001072 Rank: 18, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid002018 Rank: 157, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001906 Rank: 109, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001918 Rank: 115, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001148 Rank: 49, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001836 Rank: 85, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001052 Rank: 11, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001778 Rank: 65, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001984 Rank: 143, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid002000 Rank: 149, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
Hostname: nid001852 Rank: 90, Local 0, GPUs 0 (count=1), CPUs 0-71 (count=72)
