All nodes and tasks are healthy.
All ranks passed the checks.
loading the view [1;36mtest_mpi:default[0m  with activation script [1;33m/user-environment/env/default/activate.sh[0m
Hostname: nid004960 Rank: 817, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004770 Rank: 513, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004982 Rank: 853, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002890 Rank: 101, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002848 Rank: 53, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004788 Rank: 541, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002962 Rank: 189, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004700 Rank: 401, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004746 Rank: 469, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004754 Rank: 485, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002876 Rank: 85, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004706 Rank: 413, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004914 Rank: 745, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004624 Rank: 289, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004840 Rank: 619, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid005026 Rank: 921, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002870 Rank: 73, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002836 Rank: 39, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004586 Rank: 221, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004654 Rank: 329, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002828 Rank: 30, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid002894 Rank: 111, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid002906 Rank: 125, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002860 Rank: 67, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004638 Rank: 314, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004634 Rank: 305, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002952 Rank: 183, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004888 Rank: 705, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004648 Rank: 323, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004858 Rank: 654, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid002964 Rank: 193, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002966 Rank: 198, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004880 Rank: 689, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002944 Rank: 175, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004776 Rank: 517, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002904 Rank: 121, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002802 Rank: 9, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002898 Rank: 117, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004594 Rank: 238, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid005066 Rank: 983, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004716 Rank: 423, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid005046 Rank: 955, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid005032 Rank: 927, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid004798 Rank: 563, Local 3, GPUs 3 (count=1), CPUs 216-287 (count=72)
Hostname: nid002828 Rank: 29, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004682 Rank: 369, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid002836 Rank: 37, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004854 Rank: 645, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004990 Rank: 866, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004590 Rank: 230, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid004716 Rank: 421, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
Hostname: nid004960 Rank: 818, Local 2, GPUs 2 (count=1), CPUs 144-215 (count=72)
Hostname: nid002860 Rank: 65, Local 1, GPUs 1 (count=1), CPUs 72-143 (count=72)
